quadkey,shapeName,shapeISO,shapeID,shapeGroup,shapeType,pop_count,Predicted Relative Wealth Index,Predicted Wealth Category (quintile),Predicted Wealth Category (split-quintile),geometry
31011220212301,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,9.771492,-0.2536574706030277,D,D,"POLYGON ((124.21142578125 -9.384032109601685, 124.21142578125 -9.362352822055612, 124.2333984375 -9.362352822055612, 124.2333984375 -9.384032109601685, 124.21142578125 -9.384032109601685))"
31011220210332,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,16.733577,-0.1702678885897809,D,D,"POLYGON ((124.2333984375 -9.275622176792112, 124.2333984375 -9.253936156814456, 124.25537109375 -9.253936156814456, 124.25537109375 -9.275622176792112, 124.2333984375 -9.275622176792112))"
31011220212110,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,117.135039,-0.17580414885534248,D,D,"POLYGON ((124.2333984375 -9.297306856327593, 124.2333984375 -9.275622176792112, 124.25537109375 -9.275622176792112, 124.25537109375 -9.297306856327593, 124.2333984375 -9.297306856327593))"
31011220212112,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,100.401462,-0.08990245092069447,C,C,"POLYGON ((124.2333984375 -9.318990192397923, 124.2333984375 -9.297306856327593, 124.25537109375 -9.297306856327593, 124.25537109375 -9.318990192397923, 124.2333984375 -9.318990192397923))"
31011220212130,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,286.62952,0.09296268420240272,C,C,"POLYGON ((124.2333984375 -9.340672181980946, 124.2333984375 -9.318990192397923, 124.25537109375 -9.318990192397923, 124.25537109375 -9.340672181980946, 124.2333984375 -9.340672181980946))"
31011220212132,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,629.208641,0.26442637689123294,C,C,"POLYGON ((124.2333984375 -9.362352822055612, 124.2333984375 -9.340672181980946, 124.25537109375 -9.340672181980946, 124.25537109375 -9.362352822055612, 124.2333984375 -9.362352822055612))"
31011220212310,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,376.046275,0.0656814011111185,C,C,"POLYGON ((124.2333984375 -9.384032109601685, 124.2333984375 -9.362352822055612, 124.25537109375 -9.362352822055612, 124.25537109375 -9.384032109601685, 124.2333984375 -9.384032109601685))"
31011220212312,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,12.130525,-0.13294823475231685,D,D,"POLYGON ((124.2333984375 -9.405710041600031, 124.2333984375 -9.384032109601685, 124.25537109375 -9.384032109601685, 124.25537109375 -9.405710041600031, 124.2333984375 -9.405710041600031))"
31011220212113,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,702.810234,0.3482478342863049,B,B,"POLYGON ((124.25537109375 -9.318990192397923, 124.25537109375 -9.297306856327593, 124.27734375 -9.297306856327593, 124.27734375 -9.318990192397923, 124.25537109375 -9.318990192397923))"
31011220212131,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,144.32051,0.3177906382633287,B,B,"POLYGON ((124.25537109375 -9.340672181980946, 124.25537109375 -9.318990192397923, 124.27734375 -9.318990192397923, 124.27734375 -9.340672181980946, 124.25537109375 -9.340672181980946))"
31011220212133,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,303.263125,-0.0188356594216928,C,C,"POLYGON ((124.25537109375 -9.362352822055612, 124.25537109375 -9.340672181980946, 124.27734375 -9.340672181980946, 124.27734375 -9.362352822055612, 124.25537109375 -9.362352822055612))"
31011220212311,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,558.00415,0.19862770051450687,C,C,"POLYGON ((124.25537109375 -9.384032109601685, 124.25537109375 -9.362352822055612, 124.27734375 -9.362352822055612, 124.27734375 -9.384032109601685, 124.25537109375 -9.384032109601685))"
31011220212313,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,176.341678,0.0265182912373111,C,C,"POLYGON ((124.25537109375 -9.405710041600031, 124.25537109375 -9.384032109601685, 124.27734375 -9.384032109601685, 124.27734375 -9.405710041600031, 124.25537109375 -9.405710041600031))"
31011220212331,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,179.471084,-0.0694875095762198,C,C,"POLYGON ((124.25537109375 -9.427386615032347, 124.25537109375 -9.405710041600031, 124.27734375 -9.405710041600031, 124.27734375 -9.427386615032347, 124.25537109375 -9.427386615032347))"
31011220212333,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,257.315956,-0.20864129074695603,D,D,"POLYGON ((124.25537109375 -9.449061826881435, 124.25537109375 -9.427386615032347, 124.27734375 -9.427386615032347, 124.27734375 -9.449061826881435, 124.25537109375 -9.449061826881435))"
31011220213002,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,180.208078,0.4565297853551807,B,B,"POLYGON ((124.27734375 -9.318990192397923, 124.27734375 -9.297306856327593, 124.29931640625 -9.297306856327593, 124.29931640625 -9.318990192397923, 124.27734375 -9.318990192397923))"
31011220213020,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,128.72308,-0.20328017617478356,D,D,"POLYGON ((124.27734375 -9.340672181980946, 124.27734375 -9.318990192397923, 124.29931640625 -9.318990192397923, 124.29931640625 -9.340672181980946, 124.27734375 -9.340672181980946))"
31011220213022,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,811.479398,-0.06427143071531359,C,C,"POLYGON ((124.27734375 -9.362352822055612, 124.27734375 -9.340672181980946, 124.29931640625 -9.340672181980946, 124.29931640625 -9.362352822055612, 124.27734375 -9.362352822055612))"
31011220213200,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,156.142455,-0.01999011344838263,C,C,"POLYGON ((124.27734375 -9.384032109601685, 124.27734375 -9.362352822055612, 124.29931640625 -9.362352822055612, 124.29931640625 -9.384032109601685, 124.27734375 -9.384032109601685))"
31011220213202,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,303.263125,-0.019781598725450315,C,C,"POLYGON ((124.27734375 -9.405710041600031, 124.27734375 -9.384032109601685, 124.29931640625 -9.384032109601685, 124.29931640625 -9.405710041600031, 124.27734375 -9.405710041600031))"
31011220213220,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,206.658012,-0.06753020543504905,C,C,"POLYGON ((124.27734375 -9.427386615032347, 124.27734375 -9.405710041600031, 124.29931640625 -9.405710041600031, 124.29931640625 -9.427386615032347, 124.27734375 -9.427386615032347))"
31011220213222,Passabe,None,TLS-ADM2-3_0_0-B60,TLS,ADM2,401.050078,0.01728663709830907,C,C,"POLYGON ((124.27734375 -9.449061826881435, 124.27734375 -9.427386615032347, 124.29931640625 -9.427386615032347, 124.29931640625 -9.449061826881435, 124.27734375 -9.449061826881435))"
31011220213201,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,819.953798,0.4500472230577779,B,B,"POLYGON ((124.29931640625 -9.384032109601685, 124.29931640625 -9.362352822055612, 124.3212890625 -9.362352822055612, 124.3212890625 -9.384032109601685, 124.29931640625 -9.384032109601685))"
31011220213203,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,488.464392,0.27917877107688954,C,B,"POLYGON ((124.29931640625 -9.405710041600031, 124.29931640625 -9.384032109601685, 124.3212890625 -9.384032109601685, 124.3212890625 -9.405710041600031, 124.29931640625 -9.405710041600031))"
31011220213221,Nitibe,None,TLS-ADM2-3_0_0-B58,TLS,ADM2,121.558555,-0.22647473308284677,D,D,"POLYGON ((124.29931640625 -9.427386615032347, 124.29931640625 -9.405710041600031, 124.3212890625 -9.405710041600031, 124.3212890625 -9.427386615032347, 124.29931640625 -9.427386615032347))"
31011220213212,Oesilo,None,TLS-ADM2-3_0_0-B59,TLS,ADM2,92.961834,-0.05201964340055163,C,C,"POLYGON ((124.3212890625 -9.405710041600031, 124.3212890625 -9.384032109601685, 124.34326171875 -9.384032109601685, 124.34326171875 -9.405710041600031, 124.3212890625 -9.405710041600031))"
31011220213230,Oesilo,None,TLS-ADM2-3_0_0-B59,TLS,ADM2,444.19866,0.17476044622742126,C,C,"POLYGON ((124.3212890625 -9.427386615032347, 124.3212890625 -9.405710041600031, 124.34326171875 -9.405710041600031, 124.34326171875 -9.427386615032347, 124.3212890625 -9.427386615032347))"
31011220210330,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,1539.489084,0.37020882800842225,B,B,"POLYGON ((124.2333984375 -9.253936156814456, 124.2333984375 -9.232248799418686, 124.25537109375 -9.232248799418686, 124.25537109375 -9.253936156814456, 124.2333984375 -9.253936156814456))"
31011220210313,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,418.339425,-0.10871814974243012,D,C,"POLYGON ((124.25537109375 -9.232248799418686, 124.25537109375 -9.210560107629682, 124.27734375 -9.210560107629682, 124.27734375 -9.232248799418686, 124.25537109375 -9.232248799418686))"
31011220210331,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,953.813889,0.4890584277471065,B,B,"POLYGON ((124.25537109375 -9.253936156814456, 124.25537109375 -9.232248799418686, 124.27734375 -9.232248799418686, 124.27734375 -9.253936156814456, 124.25537109375 -9.253936156814456))"
31011220212111,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,217.536501,-0.05926143512307764,C,C,"POLYGON ((124.25537109375 -9.297306856327593, 124.25537109375 -9.275622176792112, 124.27734375 -9.275622176792112, 124.27734375 -9.297306856327593, 124.25537109375 -9.297306856327593))"
31011220211202,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,766.230003,0.779502805838651,A,A,"POLYGON ((124.27734375 -9.232248799418686, 124.27734375 -9.210560107629682, 124.29931640625 -9.210560107629682, 124.29931640625 -9.232248799418686, 124.27734375 -9.232248799418686))"
31011220211220,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,27.611892,-0.10234936614279869,D,C,"POLYGON ((124.27734375 -9.253936156814456, 124.27734375 -9.232248799418686, 124.29931640625 -9.232248799418686, 124.29931640625 -9.253936156814456, 124.27734375 -9.253936156814456))"
31011220211222,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,16.733577,-0.37019767245938423,E,E,"POLYGON ((124.27734375 -9.275622176792112, 124.27734375 -9.253936156814456, 124.29931640625 -9.253936156814456, 124.29931640625 -9.275622176792112, 124.27734375 -9.275622176792112))"
31011220213000,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,702.810234,0.13253911711635008,C,C,"POLYGON ((124.27734375 -9.297306856327593, 124.27734375 -9.275622176792112, 124.29931640625 -9.275622176792112, 124.29931640625 -9.297306856327593, 124.27734375 -9.297306856327593))"
31011220211201,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,414.17838,0.7512685263157098,A,A,"POLYGON ((124.29931640625 -9.210560107629682, 124.29931640625 -9.188870084473416, 124.3212890625 -9.188870084473416, 124.3212890625 -9.210560107629682, 124.29931640625 -9.210560107629682))"
31011220211203,Pante Macassar,None,TLS-ADM2-3_0_0-B57,TLS,ADM2,624.318705,1.19209805098752,A,A,"POLYGON ((124.29931640625 -9.232248799418686, 124.29931640625 -9.210560107629682, 124.3212890625 -9.210560107629682, 124.3212890625 -9.232248799418686, 124.29931640625 -9.232248799418686))"
